Label,Event,Unix Timestamp,Readable Timestamp,Marker,Start Error Delay (ms)
start_relax,START,1776200275.883911,2026-04-14 13:57:55.883,1,0.013
eyes_closed,START,1776200285.8975167,2026-04-14 13:58:05.897,1,13.618
eyes_open,START,1776200292.894257,2026-04-14 13:58:12.894,1,10.359
eyes_blink,START,1776200302.8843734,2026-04-14 13:58:22.884,1,0.475
Rest,START,1776200309.8852694,2026-04-14 13:58:29.885,1,1.371
Wrist_flexion,START,1776200319.8924284,2026-04-14 13:58:39.892,1,8.53
Rest,START,1776200326.8847687,2026-04-14 13:58:46.884,1,0.87
wrist_extension,START,1776200336.8845677,2026-04-14 13:58:56.884,1,0.669
Rest,START,1776200343.8916588,2026-04-14 13:59:03.891,1,7.761
fist_clench,START,1776200353.8864033,2026-04-14 13:59:13.886,1,2.505
Rest,START,1776200360.8838074,2026-04-14 13:59:20.883,1,-0.091
SESSION_END,END,1776200370.8839915,2026-04-14 13:59:30.883,1,0.093
